Generell kvalitet [1-10],Generellt skick [1-10],Byggår [år],Senaste renovering [år],Antal rum [antal] (exkl källare),Sovrum [antal] (exkl källare),Hela badrum [antal],Halva badrum [antal],Tomtarea [kvm],Boendeyta [kvm] (exkl källare),Eldstäder [antal],Yta källare [kvm],Garageplatser [antal],Yta garage [kvm],Yta pool [kvm],Försäljningspris [SEK]
7,5,2003,2003,8,3,2,1,785,158,0,79,2,50,0,2085000
6,8,1976,1976,6,3,2,0,891,117,1,117,2,42,0,1815000
7,5,2001,2002,6,3,2,1,1045,165,1,85,2,56,0,2235000
7,5,1915,1970,7,3,1,0,887,159,1,70,3,59,0,1400000
8,5,2000,2000,9,4,2,1,1324,204,1,106,3,77,0,2500000
5,5,1993,1995,5,1,1,1,1311,126,0,73,2,44,0,1430000
8,5,2004,2005,7,3,2,0,936,157,1,156,2,59,0,3070000
7,6,1973,1973,7,3,2,1,964,194,2,102,2,44,0,2000000
7,5,1931,1950,8,2,2,0,568,164,2,88,2,43,0,1299000
5,6,1939,1950,5,2,1,0,689,100,2,92,1,19,0,1180000
5,5,1965,1965,5,3,1,0,1040,96,0,96,1,35,0,1295000
9,5,2005,2006,11,4,3,0,1107,215,2,109,3,68,0,3450000
5,6,1962,1962,4,2,1,0,1204,84,0,84,1,32,0,1440000
7,5,2006,2007,7,3,2,0,989,138,1,138,3,78,0,2795000
6,5,1960,1960,5,2,1,1,1014,116,1,116,1,32,0,1570000
7,8,1929,2001,5,2,1,0,568,79,0,77,2,53,0,1320000
6,7,1970,1970,5,2,1,0,1044,93,1,93,2,44,0,1490000
4,5,1967,1967,6,2,2,0,1002,120,0,0,2,47,0,900000
5,5,2004,2004,6,3,1,1,1272,103,0,103,2,53,0,1590000
5,6,1958,1965,6,3,1,0,702,124,0,95,1,27,0,1390000
8,5,2005,2006,9,4,3,1,1320,220,1,107,3,79,0,3253000
7,7,1930,1950,6,3,1,0,692,102,1,59,1,26,0,1394000
8,5,2002,2002,7,3,2,0,905,166,1,165,2,49,0,2300000
5,7,1976,1976,6,3,1,0,392,98,1,96,2,53,0,1299000
5,8,1968,2001,6,3,1,0,766,98,1,98,1,25,0,1540000
8,5,2007,2007,7,3,2,0,1321,148,1,145,3,82,0,2563000
5,7,1951,2000,5,3,1,0,668,83,0,83,2,53,0,1348000
8,5,2007,2008,7,3,2,0,1066,158,1,158,3,71,0,3060000
5,6,1957,1997,6,2,1,0,1516,148,2,137,1,29,0,2075000
4,6,1927,1950,4,1,1,0,587,48,0,48,1,22,0,685000
4,4,1920,1950,6,3,1,0,789,122,0,60,1,23,0,400000
5,6,1966,2006,6,3,1,1,793,114,0,114,1,25,0,1493500
8,5,2007,2007,7,3,2,0,1026,114,0,114,2,44,0,1799000
5,5,1959,1959,6,4,1,1,980,157,1,129,2,41,0,1655000
9,5,2005,2005,6,2,2,0,679,145,1,145,2,51,0,2775000
8,5,2004,2005,9,4,3,1,1246,227,1,103,3,64,0,3090000
5,5,1994,1995,6,3,1,1,1008,101,0,101,2,62,0,1450000
5,6,1954,1990,5,3,1,0,792,120,1,120,2,46,0,1530000
5,7,1953,2007,5,3,1,0,735,98,0,98,1,22,0,1090000
4,5,1955,1955,6,2,2,0,561,107,0,0,0,0,0,820000
6,5,1965,1965,6,3,2,0,804,122,1,101,2,40,0,1600000
5,6,1959,1959,5,2,1,1,1570,123,2,125,1,28,0,1700000
5,7,1983,1983,5,2,1,0,852,82,0,78,2,46,0,1440000
5,6,1975,1980,5,3,1,0,854,87,0,87,1,28,0,1302500
5,6,1959,1959,6,3,1,0,738,106,0,106,1,27,0,1410000
9,5,2005,2005,6,2,2,0,711,162,1,162,2,53,0,3199000
7,5,2003,2003,6,1,1,1,1191,199,1,133,2,62,0,2396860
8,5,2006,2006,7,3,2,0,1030,153,0,153,3,76,0,2497000
4,5,1920,2008,8,2,2,0,413,134,0,68,0,0,0,1130000
5,7,1966,1966,6,3,1,0,719,88,0,88,1,35,0,1270000
6,6,1997,1997,6,3,2,0,1288,136,0,73,2,36,0,1770000
6,6,1934,1950,6,3,1,0,579,109,1,75,2,49,0,1145000
5,5,1963,1963,5,2,1,0,787,75,0,75,2,47,0,1100000
9,5,1981,1987,5,0,0,1,4670,171,1,171,3,83,0,3850000
5,5,1955,1955,6,3,1,0,662,126,1,35,2,53,0,1300000
